,STOP_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,IMMEDIATE_STOP_FLAG,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR,TIME_NUM,SUSPECT_REPORTED_AGE_CUT
4548,2834,2020-03-23,02:51:00,2020,March,Monday,Based on Radio Run,APP,POM,44,SGT,44,GRAND LARCENY,10,Y,N,Y,OTHER,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,CM,AGITATED,28,MALE,WHITE,5.1,165,THN,BROWN,BRO,empty,44,GRAND CONC && ELLIOT PL,GRAND CONC,1007981,244635,10456,PBBX,BRONX,Y,2,7,2.85,"[20, 30)"
4549,9340,2020-12-28,15:40:00,2020,December,Monday,Based on Radio Run,APP,POM,60,SGT,60,CPW,10,Y,Y,N,not arrested,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,CM,IRRATE,33,MALE,BLACK,5.9,195,THN,BROWN,BLK,empty,60,SURF AVE && W 30 ST,SURF AVE,985372,147958,11224,PBBS,BROOKLYN,Y,15,0,15.666666666666666,"[30, 40)"
4550,2659,2020-03-19,01:26:00,2020,March,Thursday,Based on Self Initiated,APP,POM,6,LT,6,BURGLARY,2,Y,N,Y,BURGLARY,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,SA,NERVOUS BUT COMPLIANT,47,MALE,WHITE,5.7,160,THN,BROWN,GRY,empty,6,89 CHRISTOPHER ST,CHRISTOPHER ST,983139,206515,10014,PBMS,MANHATTAN,Y,1,6,1.4333333333333333,"[40, 50)"
4551,4882,2020-04-30,17:32:00,2020,April,Thursday,Based on Radio Run,APP,POM,47,SGT,47,MENACING,10,Y,N,N,not arrested,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,Y,CM,CONFRONTATIONAL/COMBATIVE,25,MALE,BLACK,5.9,190,MED,BROWN,BLD,BLACK JACKET PURPLE SLEEVES W,47,3961 CARPENTER AVE,CARPENTER AVE,1021932,262954,10466,PBBX,BRONX,Y,17,0,17.533333333333335,"[20, 30)"
4552,2880,2020-03-21,18:51:00,2020,March,Saturday,Based on Radio Run,APP,POM,40,SGT,40,GRAND LARCENY,8,Y,N,Y,CPSP,N,N,N,N,V,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,SA,NERVOUS AND SCARED,25,MALE,BLACK,6.1,200,HEA,BROWN,BLK,empty,40,301 E 156 ST,E 156 ST,1006845,238726,10451,PBBX,BRONX,Y,18,2,18.85,"[20, 30)"
4553,844,2020-01-28,14:27:00,2020,January,Tuesday,Based on Radio Run,APP,POM,40,SGT,40,CPW,5,Y,N,N,not arrested,N,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,SA,CALM,40,MALE,WHITE,5.8,200,MED,BROWN,BLK,empty,40,2564 PARK AVE,PARK AVE,1003958,235441,10451,PBBX,BRONX,Y,14,1,14.45,"[40, 50)"
4554,6257,2020-08-04,19:44:00,2020,August,Tuesday,Based on Radio Run,APP,POM,17,SGT,17,PETIT LARCENY,10,Y,N,Y,PETIT LARCENY,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,CM,CALM,22,MALE,WHITE,5.6,140,THN,OTHER,OTHER,UNK,14,450 LEXINGTON AVE,LEXINGTON AVE,991169,213645,10017,PBMS,MANHATTAN,Y,19,1,19.733333333333334,"[20, 30)"
4555,5623,2020-06-19,17:24:00,2020,June,Friday,Based on Radio Run,APP,POM,110,SGT,109,ROBBERY,7,Y,Y,Y,ROBBERY,N,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,SA,CALM,30,MALE,WHITE,6.0,160,THN,BROWN,BRO,BLACK SHIRT AND BLUE JEANS CA,110,SEAVER WAY && ROOSEVELT AVE,SEAVER WAY,1027679,214505,11368,PBQN,QUEENS,Y,17,1,17.4,"[30, 40)"
4556,5843,2020-06-28,20:20:00,2020,June,Sunday,Based on Radio Run,APP,POM,808,SGT,808,ASSAULT,15,Y,N,Y,ASSAULT,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,CM,APPARENTLY NORMAL,20,MALE,BLACK,5.8,165,THN,BROWN,BLK,empty,43,1686 SEWARD AVE,SEWARD AVE,1020589,237336,10473,PBBX,BRONX,Y,20,3,20.333333333333332,"[20, 30)"
4557,4911,2020-05-21,11:57:00,2020,May,Thursday,Based on Radio Run,APP,POM,25,SGT,25,PETIT LARCENY,2,Y,N,N,not arrested,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,CM,"INTOXICATED, CALM",36,MALE,WHITE,5.6,185,MED,BROWN,BLK,empty,25,113 E 117 ST,E 117 ST,1000291,230674,10035,PBMN,MANHATTAN,Y,11,1,11.95,"[30, 40)"
