,STOP_WAS_INITIATED,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME,IMMEDIATE_STOP_FLAG,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR
1531,Based on Radio Run,3,N,not arrested,Y,N,Y,44,MALE,WHITE,6.0,250,MED,unknown,OTHER,QUEENS,Y,13,1
1532,Based on Radio Run,10,Y,CRIMINAL MISCHIEF,N,Y,N,34,MALE,OTHER,5.4,160,THN,BROWN,BLK,QUEENS,Y,1,0
1533,Based on Self Initiated,5,Y,CPW,Y,Y,N,18,MALE,BLACK,5.8,175,THN,BROWN,BLK,BRONX,N,1,2
1534,Based on Self Initiated,10,Y,BURGLARY,Y,Y,Y,19,MALE,WHITE,6.1,150,THN,OTHER,BRO,BRONX,Y,1,2
1535,Based on Radio Run,15,Y,ROBBERY,Y,Y,Y,17,MALE,BLACK,5.1,170,THN,BROWN,BLK,BRONX,Y,22,2
1536,Based on Self Initiated,20,N,not arrested,Y,Y,N,18,MALE,OTHER,5.11,190,HEA,BROWN,BLK,BROOKLYN,Y,23,0
1537,Based on Self Initiated,2,N,not arrested,Y,N,N,35,MALE,BLACK,6.2,190,MED,BROWN,BLK,BRONX,N,1,7
1538,Based on Radio Run,7,Y,MENACING,Y,Y,Y,54,MALE,BLACK,5.8,190,MED,BROWN,BLD,QUEENS,Y,8,1
1539,Based on Radio Run,3,N,not arrested,N,N,N,20,MALE,BLACK,5.8,140,THN,BROWN,OTHER,QUEENS,N,9,5
1540,Based on Radio Run,30,N,not arrested,N,N,N,26,FEMALE,WHITE,5.4,110,THN,BROWN,BLK,QUEENS,Y,0,5
1541,Based on Radio Run,20,N,not arrested,N,N,N,17,MALE,WHITE,6.2,130,THN,BLACK,BRO,BROOKLYN,Y,17,3
1542,Based on Self Initiated,5,Y,CPW,Y,Y,N,18,MALE,BLACK,6.3,220,MED,BLACK,BLK,BRONX,Y,15,0
1543,Based on Radio Run,3,N,not arrested,Y,N,Y,39,MALE,BLACK,6.2,160,THN,BROWN,BLK,MANHATTAN,N,19,1
1544,Based on Radio Run,12,N,not arrested,Y,N,N,20,MALE,WHITE,5.11,200,MED,BROWN,BLK,BROOKLYN,Y,22,3
1545,Based on Self Initiated,2,N,not arrested,Y,N,N,28,MALE,BLACK,5.6,140,THN,BLACK,BLK,BRONX,Y,5,0
1546,Based on Radio Run,9,Y,PETIT LARCENY,N,Y,N,38,MALE,BLACK,6.1,185,THN,BROWN,BLK,MANHATTAN,Y,21,0
1547,Based on Radio Run,5,N,not arrested,N,N,N,57,FEMALE,BLACK,5.5,170,THN,BROWN,BLK,MANHATTAN,Y,17,2
1548,Based on Self Initiated,3,N,not arrested,Y,N,Y,20,MALE,WHITE,5.8,165,THN,BROWN,BLK,BRONX,Y,0,0
1549,Based on Radio Run,10,Y,ROBBERY,N,N,N,19,MALE,WHITE,5.7,130,THN,BROWN,BRO,BROOKLYN,Y,21,0
1550,Based on Radio Run,3,N,not arrested,Y,N,Y,30,MALE,BLACK,5.8,180,MED,BROWN,BLK,BROOKLYN,Y,19,3
1551,Based on C/W on Scene,5,Y,ASSAULT,Y,N,Y,26,MALE,WHITE,5.7,140,THN,BROWN,BLK,MANHATTAN,Y,21,4
1552,Based on Radio Run,10,N,not arrested,N,N,N,22,MALE,BLACK,5.7,175,THN,BROWN,BLK,BRONX,N,17,4
1553,Based on Radio Run,11,Y,PETIT LARCENY,N,N,N,49,MALE,WHITE,5.6,150,THN,BROWN,BLD,BRONX,Y,23,1
1554,Based on Radio Run,21,N,not arrested,N,N,N,48,MALE,OTHER,5.6,140,THN,BLACK,BLK,MANHATTAN,Y,1,1
1555,Based on Radio Run,3,N,not arrested,Y,N,Y,13,MALE,BLACK,5.6,120,MED,BROWN,BLK,BROOKLYN,N,19,3
1556,Based on Radio Run,41,N,not arrested,Y,N,Y,25,MALE,WHITE,5.7,130,THN,BLACK,BLK,MANHATTAN,Y,0,0
1557,Based on Radio Run,7,N,not arrested,N,N,N,17,MALE,BLACK,5.6,130,MED,BROWN,BLK,BROOKLYN,Y,15,0
1558,Based on Radio Run,6,Y,BURGLARY,Y,N,Y,24,MALE,BLACK,5.11,215,MED,BROWN,BLK,MANHATTAN,Y,1,0
1559,Based on Self Initiated,2,N,not arrested,Y,N,Y,17,MALE,BLACK,5.6,160,MED,BROWN,BLK,BRONX,Y,22,0
1560,Based on Self Initiated,5,Y,CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,Y,N,N,19,MALE,BLACK,5.6,165,MED,BROWN,BLK,BRONX,N,16,0
1561,Based on Radio Run,20,N,not arrested,N,N,N,31,MALE,WHITE,5.7,170,THN,BROWN,BRO,BRONX,Y,18,1
1562,Based on C/W on Scene,15,N,not arrested,Y,N,N,28,MALE,WHITE,5.8,165,THN,BROWN,BRO,MANHATTAN,N,12,1
