,STOP_DURATION_MINUTES,SUSPECT_REPORTED_AGE,SUSPECT_HEIGHT,SUSPECT_WEIGHT,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR,0,1,2,3,4,5,6,7,8,9,SUSPECT_RACE_DESCRIPTION
4562,15,19,6,117,15,1,0.1557180682016307,-0.06205148946176193,0.4577278015389121,-0.3333628131641652,-0.3881787030004905,0.03350831343389548,0.02185552016534802,0.7347987441422013,0.018093635425753422,0.0942761877484473,BLACK
4563,25,21,6,140,1,0,-0.1916353131187928,-0.4828714060733247,0.0299982014745305,-0.4412115050294383,0.056588491980599634,-0.512681226793449,-0.15640183486520426,-0.1960369957988408,-0.3292181732855259,0.3212383155001563,WHITE
4924,5,24,5,115,20,1,0.29708251950629017,0.1675654241979684,-0.14891899758164168,0.3578775371856995,-0.018520390622740465,-0.460101327491324,0.05923399067930203,-0.11180286036936053,-0.3035268584756548,-0.35953441994818874,BLACK
4233,10,33,6,150,23,4,-0.5241287381386989,0.2445932722172647,-0.05792560756047258,0.3111320487267554,-0.415834113959024,0.17734822170708825,0.00042813990885721146,0.29721549760155186,-0.14167119771957565,-0.039515628661813844,BLACK
2261,12,18,6,120,17,5,0.04935825262901275,0.3298477942875819,-0.33067401103183713,-0.20647001262043205,0.1765914457938554,-0.44737221476781014,-0.148835170317772,-0.32489115414898456,-0.24865719054526952,0.4435464025280024,BLACK
1032,20,20,6,150,22,2,0.12322359452525113,0.18114928040492367,-0.2155630470031184,0.012403239992436359,-0.00827043902628067,0.0015060893898476532,-0.29541284170331683,-0.10527279250062027,0.11862944576820034,0.17049746173008887,BLACK
7203,5,36,6,200,19,10,0.10842838462157224,0.29983876650201674,-0.3755302158094451,0.1197370381169815,-0.007707542497890946,0.3253622063757499,0.05736297056530013,0.15310124344175666,-0.3094628682978013,-0.29138076541394536,BLACK
5611,10,23,5,190,3,2,0.1516560848323446,0.184105479777943,-0.25762232225109094,0.00117699005890106,-0.12441680236900898,0.31736177409879746,-0.1030060384792804,-0.14226838919557702,-0.052253395710557905,0.09747544971604911,WHITE
94,5,26,6,150,12,9,0.6491710011643397,0.14052274318002797,0.5313007654909261,0.7353305738493331,-0.11300691921749542,-0.5682713999621076,0.08534989510077942,0.37718115283386705,0.0926956178022605,0.18172267945684373,BLACK
4195,5,34,7,220,18,1,-0.12966078945141468,-0.707894753874159,0.0005217134467092107,-0.5426814369785531,0.3530174781757564,-0.10493731797968069,-0.18035320553617015,-0.03420306695982208,0.0020621358176694067,0.03419446081208302,BLACK
7302,2,16,6,130,17,0,-0.4195335620467403,-0.35359105911626854,0.1920516294805468,-0.17324637665651615,-0.04437148739801171,-0.043863179067896316,-0.2774394196274338,-0.04162137653100272,0.02813591199148235,0.06476638902936417,BLACK
7034,10,70,6,150,22,1,0.47818292917115035,-0.1569111182627372,-0.2097846956320785,-0.060992248892075177,0.4990999753222256,0.343596638337252,-0.9343615265611331,-0.6573676624282317,-0.13840192976980675,0.5100545895651922,WHITE
5518,10,17,5,148,1,1,1.0003125999255427,0.4617623322453146,0.6664939048096546,-0.09478625802902393,0.08189112401167768,-0.021065378936131234,-0.17693518854194748,0.3877165640775409,-0.04379178838242554,-0.4224702085946681,WHITE
6368,22,28,6,210,4,2,0.313466281407086,0.07925581037694512,-0.43319868613491214,-0.07565146016931254,0.0023625095845103,0.026026258113958384,0.014907259106651088,0.04810082571888634,0.02831735823480442,-0.02003965007958757,BLACK
2366,5,19,6,150,6,1,-0.150739261222689,0.46173247899845976,-0.16790524901161352,-0.04193862143085012,-0.3575565867206785,-0.03696461966050417,-0.43959770728465924,-0.3722946226034004,0.7464239385048257,-0.0178266156923593,BLACK
3658,9,15,5,130,16,0,-0.13553934056569297,-0.8082134333109818,0.2027561335131877,0.43861392782845005,-0.06652302173418184,-0.17482173029825054,0.030749621501537653,0.6017065254044598,0.08375168914976365,0.26847358259857224,WHITE
3761,1,30,6,160,3,0,-0.1223067709155955,0.46468867837147904,-0.20996452425958612,-0.05316487136438539,-0.47370295006340685,0.2788910650484456,-0.24719090406062288,-0.4092902192983572,0.5755410970260675,-0.09084862770639907,BLACK
5197,6,43,6,165,9,8,0.4272210303960684,0.0017250983261984307,-0.4651410972148038,-0.13990334243183464,-0.3679145373055197,0.2501718324732956,-0.07701738262075956,0.0474759127071099,0.3317747818755103,-0.5365618911885727,BLACK
3283,1,15,5,105,12,1,-0.0075179779271159625,0.48111384995008893,-0.0984642700605014,-0.03389762490853583,-0.2996539133681203,-0.955450772976286,-0.09874221256107614,-0.8938126847578386,0.21419047053474408,0.11404665855727109,OTHER
5652,5,23,6,150,15,4,0.12322359452525113,0.18114928040492367,-0.2155630470031184,0.012403239992436359,-0.00827043902628067,0.0015060893898476532,-0.29541284170331683,-0.10527279250062027,0.11862944576820034,0.17049746173008887,BLACK
633,3,25,6,180,10,1,-0.3077217104224438,0.6549964777732803,-0.25387073149007605,0.14087330888975239,0.12942972004046957,-0.2531097617428889,-0.1873040565126681,-0.07630007695429028,0.1857570422768764,0.10983941028663138,WHITE
865,5,26,6,150,19,1,0.8444170084270962,0.09380837955083791,0.9652534569068816,-0.5039826380512834,-0.1756665139854316,0.08741709032807944,-0.12136103323664406,-0.2488169381060774,-0.44639172801055416,0.21302889966353203,WHITE
3841,5,21,6,140,22,1,0.10842838462157224,0.29983876650201674,-0.3755302158094451,0.1197370381169815,-0.007707542497890946,0.3253622063757499,0.05736297056530013,0.15310124344175666,-0.3094628682978013,-0.29138076541394536,BLACK
263,4,22,6,140,18,7,0.04931830901881218,0.35255014340353447,0.05931511139627831,0.3955241324930949,-0.20821070882215234,-0.45132183848406887,-0.1364796173838766,-0.5033662499943014,-0.04982799228863597,0.06960182920686347,BLACK
5202,2,18,6,170,23,0,-0.8623696852232955,0.04393130433391187,0.009156492937049147,-0.3651194923211832,0.5746195426840315,-0.33961342554452234,-0.04670433372220616,-0.07043309379401834,0.05925718128988367,-0.009886576304253028,BLACK
5757,10,17,5,240,17,1,-0.21534993612334444,0.5345741668895135,-0.4008958097160294,0.040170758500610027,0.35770208288522054,-0.01607050361053827,0.6913900022712972,-0.25735099473106204,-0.04833506462715118,-0.35028904307441483,BLACK
1620,26,33,6,170,5,4,0.5954881487433408,-0.4052792982778951,0.30255081324983557,1.1677683002247714,0.8865214488142023,0.4971621485108568,0.24258724225863545,-0.053094077987999574,0.4638365905143645,-0.3457799039244234,WHITE
2666,1,19,5,170,16,0,0.313466281407086,0.07925581037694512,-0.43319868613491214,-0.07565146016931254,0.0023625095845103,0.026026258113958384,0.014907259106651088,0.04810082571888634,0.02831735823480442,-0.02003965007958757,BLACK
6270,5,24,6,160,10,1,0.3014276082878256,-0.5391577629866592,0.301053749928561,0.6402354764715125,0.451852777149377,0.765654401602751,0.21719296931390478,-0.15011889714548604,0.17287325655676208,-0.8134440666900712,WHITE
7187,2,15,6,170,19,4,0.464876592442181,-0.025661778602879298,-0.4095588860890264,-0.3198137706430079,-0.27758750653769937,-0.2431663839763679,-0.26629989866849796,-0.2603133247802347,0.06473278413189822,-0.08955285290810416,WHITE
1807,10,33,6,200,22,7,0.362270597753256,-0.10335740676472573,-0.4045822848663767,0.19410693348716093,-0.42787227886389995,0.16251880828205872,-0.010179421645409538,0.4179954356387117,-0.0772263087686461,-0.04205055588980964,BLACK
7002,1,24,5,160,17,5,0.15258713813055672,0.6623479926024824,0.3749463010126245,0.14566505862819595,-0.10051601225994623,0.31266037087934045,-0.0074576924715456325,-0.312273650908508,-0.06423809227947912,0.0181043664947573,BLACK
6802,5,34,5,160,7,0,-0.2792892201153503,0.6579526771462996,-0.29593000673804865,0.12964705895621711,0.013283356697741236,0.06274592296606081,0.005102746711368301,-0.11329567364924704,0.014874200798118126,0.03681739827259161,BLACK
4321,10,58,5,230,1,0,-0.25310136596004246,0.43246000748819735,0.5132124430140669,0.3839837355107102,-0.361852452825555,-0.16121133872318238,0.6780664149452064,-0.03307005549963786,0.150499449392877,-0.24436014370353087,BLACK
818,3,23,6,135,18,0,0.3999261597993686,-0.13074428369380348,-0.3490000737405993,0.014196505275987642,-0.3375452480960796,-0.33081940816760474,-0.1994619376931479,0.11020619815136708,-0.3442683065122583,0.4049584823906589,BLACK
1540,30,26,5,110,0,4,0.5509247326379738,-0.2356307490687741,-0.17797106663857326,0.43224743255587894,-0.43868512698874945,-0.622944725585015,-0.008308401531407645,0.15309133182759452,-0.07129029894649963,-0.11020421042405296,WHITE
