Pair	Hypothesis	P-value
STOP_LOCATION_ZIP_CODE-11228	Fail to Reject Null Hypothesis	0.000761474576048566
STOP_LOCATION_ZIP_CODE-11229	Fail to Reject Null Hypothesis	0.05765985047139758
STOP_LOCATION_ZIP_CODE-11230	Fail to Reject Null Hypothesis	0.00200954779357677
STOP_LOCATION_ZIP_CODE-11231	Fail to Reject Null Hypothesis	0.041431857209272976
STOP_LOCATION_ZIP_CODE-11232	Reject Null Hypothesis	3.965190600920713e-05
STOP_LOCATION_ZIP_CODE-11233	Reject Null Hypothesis	1.3792506572035652e-09
STOP_LOCATION_ZIP_CODE-11234	Fail to Reject Null Hypothesis	0.00352143550301472
STOP_LOCATION_ZIP_CODE-11235	Fail to Reject Null Hypothesis	0.008696260074047233
STOP_LOCATION_ZIP_CODE-11236	Reject Null Hypothesis	8.904371227115599e-08
STOP_LOCATION_ZIP_CODE-11237	Fail to Reject Null Hypothesis	0.0019145374446729486
STOP_LOCATION_ZIP_CODE-11238	Fail to Reject Null Hypothesis	0.008426690749094955
STOP_LOCATION_ZIP_CODE-11239	Fail to Reject Null Hypothesis	0.12009307448814423
STOP_LOCATION_ZIP_CODE-11249	Fail to Reject Null Hypothesis	0.02230834431503367
STOP_LOCATION_ZIP_CODE-11354	Reject Null Hypothesis	1.8385101555710865e-06
STOP_LOCATION_ZIP_CODE-11355	Reject Null Hypothesis	3.6136599392747957e-40
STOP_LOCATION_ZIP_CODE-11356	Fail to Reject Null Hypothesis	0.06331124172749555
STOP_LOCATION_ZIP_CODE-11357	Fail to Reject Null Hypothesis	0.005893670408797403
STOP_LOCATION_ZIP_CODE-11358	Reject Null Hypothesis	3.8060789127815486e-05
STOP_LOCATION_ZIP_CODE-11360	Fail to Reject Null Hypothesis	0.008587675906910957
STOP_LOCATION_ZIP_CODE-11361	Fail to Reject Null Hypothesis	0.003172539854813256
STOP_LOCATION_ZIP_CODE-11362	Fail to Reject Null Hypothesis	0.877783938893591
STOP_LOCATION_ZIP_CODE-11363	Fail to Reject Null Hypothesis	0.002386295008312646
STOP_LOCATION_ZIP_CODE-11364	Fail to Reject Null Hypothesis	0.10873544035401049
STOP_LOCATION_ZIP_CODE-11365	Fail to Reject Null Hypothesis	0.406788694730136
STOP_LOCATION_ZIP_CODE-11366	Fail to Reject Null Hypothesis	0.024148059654984927
STOP_LOCATION_ZIP_CODE-11367	Fail to Reject Null Hypothesis	0.00734281075592204
STOP_LOCATION_ZIP_CODE-11368	Reject Null Hypothesis	2.0703729647807913e-15
STOP_LOCATION_ZIP_CODE-11369	Fail to Reject Null Hypothesis	0.977919077595734
STOP_LOCATION_ZIP_CODE-11370	Reject Null Hypothesis	7.347039556646184e-05
STOP_LOCATION_ZIP_CODE-11372	Reject Null Hypothesis	9.608243472926125e-15
STOP_LOCATION_ZIP_CODE-11373	Reject Null Hypothesis	1.925481420726244e-30
STOP_LOCATION_ZIP_CODE-11374	Fail to Reject Null Hypothesis	0.010296587124485633
STOP_LOCATION_ZIP_CODE-11375	Fail to Reject Null Hypothesis	0.02421944078694726
STOP_LOCATION_ZIP_CODE-11377	Reject Null Hypothesis	5.810764516968439e-06
STOP_LOCATION_ZIP_CODE-11378	Fail to Reject Null Hypothesis	0.08856740995324158
STOP_LOCATION_ZIP_CODE-11379	Fail to Reject Null Hypothesis	0.010948960880406611
STOP_LOCATION_ZIP_CODE-11385	Reject Null Hypothesis	2.7794220420566514e-06
STOP_LOCATION_ZIP_CODE-11411	Fail to Reject Null Hypothesis	0.10677042173671872
STOP_LOCATION_ZIP_CODE-11412	Fail to Reject Null Hypothesis	0.014607455620502368
STOP_LOCATION_ZIP_CODE-11413	Fail to Reject Null Hypothesis	0.011566398645166903
STOP_LOCATION_ZIP_CODE-11414	Fail to Reject Null Hypothesis	0.0671875825389041
STOP_LOCATION_ZIP_CODE-11415	Fail to Reject Null Hypothesis	0.055865580405988234
STOP_LOCATION_ZIP_CODE-11416	Fail to Reject Null Hypothesis	0.03836158169356098
STOP_LOCATION_ZIP_CODE-11417	Fail to Reject Null Hypothesis	0.17514929310583136
STOP_LOCATION_ZIP_CODE-11418	Fail to Reject Null Hypothesis	0.10677042173671872
STOP_LOCATION_ZIP_CODE-11419	Reject Null Hypothesis	4.9076348775804494e-11
STOP_LOCATION_ZIP_CODE-11420	Fail to Reject Null Hypothesis	0.04090695350991374
STOP_LOCATION_ZIP_CODE-11421	Fail to Reject Null Hypothesis	0.5519676247517982
STOP_LOCATION_ZIP_CODE-11422	Fail to Reject Null Hypothesis	0.07535507232456032
STOP_LOCATION_ZIP_CODE-11423	Reject Null Hypothesis	3.414817769538377e-10
STOP_LOCATION_ZIP_CODE-11426	Fail to Reject Null Hypothesis	0.1355849966270098
STOP_LOCATION_ZIP_CODE-11427	Fail to Reject Null Hypothesis	0.877783938893591
STOP_LOCATION_ZIP_CODE-11428	Fail to Reject Null Hypothesis	0.8325047635266902
STOP_LOCATION_ZIP_CODE-11429	Fail to Reject Null Hypothesis	0.02866570475996837
STOP_LOCATION_ZIP_CODE-11432	Fail to Reject Null Hypothesis	0.03615559729112522
STOP_LOCATION_ZIP_CODE-11433	Fail to Reject Null Hypothesis	0.013118258855833563
STOP_LOCATION_ZIP_CODE-11434	Reject Null Hypothesis	1.464326545285686e-06
STOP_LOCATION_ZIP_CODE-11435	Fail to Reject Null Hypothesis	0.01629525201555095
STOP_LOCATION_ZIP_CODE-11436	Fail to Reject Null Hypothesis	0.8763016485202793
STOP_LOCATION_ZIP_CODE-11691	Fail to Reject Null Hypothesis	0.12356517699110237
STOP_LOCATION_ZIP_CODE-11692	Fail to Reject Null Hypothesis	0.0005446451255960274
STOP_LOCATION_ZIP_CODE-11693	Fail to Reject Null Hypothesis	0.6276966406217709
STOP_LOCATION_ZIP_CODE-11694	Fail to Reject Null Hypothesis	0.6717800001182542
STOP_LOCATION_ZIP_CODE-unknown	Fail to Reject Null Hypothesis	0.02424627022200688
SUSPECT_HAIR_COLOR-BLD	Fail to Reject Null Hypothesis	0.22152249727911208
SUSPECT_HAIR_COLOR-BLK	Reject Null Hypothesis	9.425086988518276e-114
SUSPECT_HAIR_COLOR-BRO	Reject Null Hypothesis	2.0707780656078386e-128
SUSPECT_HAIR_COLOR-GRY	Reject Null Hypothesis	2.2506585398619266e-13
SUSPECT_HAIR_COLOR-OTHER	Reject Null Hypothesis	8.686290697246549e-11
STOP_LOCATION_PATROL_BORO_NAME-PBBN	Reject Null Hypothesis	7.619940157867759e-24
STOP_LOCATION_PATROL_BORO_NAME-PBBS	Reject Null Hypothesis	3.0044510965032735e-10
STOP_LOCATION_PATROL_BORO_NAME-PBBX	Reject Null Hypothesis	2.20529416914187e-14
STOP_LOCATION_PATROL_BORO_NAME-PBMN	Reject Null Hypothesis	1.612566973232313e-06
STOP_LOCATION_PATROL_BORO_NAME-PBMS	Fail to Reject Null Hypothesis	0.09751198684421053
STOP_LOCATION_PATROL_BORO_NAME-PBQN	Reject Null Hypothesis	2.5503967008561066e-87
STOP_LOCATION_PATROL_BORO_NAME-PBQS	Reject Null Hypothesis	1.4363345031088117e-17
STOP_LOCATION_PATROL_BORO_NAME-PBSI	Fail to Reject Null Hypothesis	0.00720146462640635
STOP_LOCATION_STREET_NAME-1 AVE	Fail to Reject Null Hypothesis	0.3636031352734013
